zip,population,latitude,longitude
85364,74382,32.69175335,-114.6188227462049
85032,72830,33.6153762,-112.01683335402427
85225,70066,33.300305249999994,-111.84207250021592
85204,69278,33.39947926912023,-111.78519867964175
85301,68300,33.5384192,-112.1807467
85308,66057,33.6445629,-112.22379125710276
85142,65881,33.267708049999996,-111.6111317
85033,65759,33.5068196,-112.19639694628776
85281,65283,33.4256295,-111.9364624
85008,62992,33.4513241,-111.97399315000001
85041,62491,33.36952195,-112.09398169342678
85326,60999,33.42188081073522,-112.55755154205342
85035,58327,33.4769174,-112.1721105
85122,57860,48.8711179,11.326766135380542
85345,56790,33.5822928,-112.204621
85705,56450,32.2525649,-110.9778853
85037,55567,33.4957932,-112.256035
85706,55352,32.15546890654616,-110.95652359935022
85710,54663,32.2277772,-110.8449135624864
85282,54649,33.39216345,-111.91105843227265
85201,51519,33.42271925,-111.82359745
85022,51426,40.94600958502741,15.673002809050278
85283,51119,33.377868750000005,-111.97331992476177
85365,50690,32.6899796,-114.490640175
85383,50308,33.737815586169866,-112.27835217204458
85234,49894,33.36681754999999,-111.75477729650407
85207,49727,33.421368768901594,-111.64170181510434
85009,49536,33.4349075,-112.15434890510733
85338,48517,33.438117899999995,-112.35916104123808
85719,48369,32.2827898,-110.95856912682481
85379,47791,33.60626036856956,-112.37228898339072
85374,47709,33.6402325,-112.3578758
85140,46804,46.772083550000005,-1.2188975605913552
85713,46640,32.18702450906937,-110.97550875557027
85042,46570,33.37440655,-112.0738824111632
85254,46333,33.6434804,-111.97373715
85339,46251,33.364210048428355,-112.16883414720918
86001,46041,35.18355475,-111.64272651260069
85029,45958,40.96170826811391,15.813110935978644
85295,45763,33.30228785560124,-111.74571178214944
85746,44823,32.15093237241396,-111.02293308982574
85224,44333,33.321307250000004,-111.88496445539158
85051,44042,33.53905415,-112.13808059835378
85296,43643,48.6061706,11.5768572
85286,42979,26.87925885,-109.57216640537477
85323,42812,33.4423769,-112.31818847719805
85086,42272,33.79956235,-112.12856084805804
85205,42171,33.42732250196004,-111.7435508300604
85756,42023,32.12399856602112,-110.87936938731073
85021,42002,33.5497252,-112.0748471
85017,41993,33.518787700000004,-112.13225775000001
85353,41818,33.450788349999996,-112.23903418976764
85255,41625,33.6234665,-111.85226010332306
85251,41575,33.4928383,-111.9297843701506
85044,41449,33.3207331,-111.97587265
85210,40919,46.55934305,-1.0211126504572634
85302,40434,33.55334205,-112.1521237
85209,40201,33.37655665,-111.67675783181042
85015,39866,33.51491555,-112.11033929999999
85043,39757,33.435498100000004,-112.21911910023402
85382,39556,33.6750189,-112.23020789621648
85711,39521,32.221484092303186,-110.87724375265975
85745,39414,32.2292915,-110.99743192140286
85202,39245,33.393703,-111.8710159752257
85203,39069,46.971130591951216,-1.2994664594781327
85249,39052,33.23598015,-111.83747674399466
85260,38934,33.583369149999996,-111.8962009990732
86314,38932,34.59319854602132,-112.33328078812973
85226,38884,33.27699795,-111.9621299502138
85392,38856,33.4733219,-112.287639412506
85018,38833,33.50232565,-111.96773975913732
85143,38235,-10.201038149999999,123.60766573675743
85730,38219,62.40716282657048,17.274695443071185
85208,37967,33.41265155345387,-111.62692774719187
85213,36902,33.428957891836625,-111.76351447154997
85206,36901,33.40046162672613,-111.71198760589932
85132,36774,48.928472799999994,11.148200255729167
85138,36636,33.05661190907825,-112.00983502080237
85027,36539,40.97697035,15.6731281
86004,35798,35.1973569,-111.59627589360666
85040,35358,33.40789585,-111.99658445
85233,35284,34.2012295,-112.76252683216494
85048,35252,33.29330265,-111.9899017442647
85741,35219,32.33641015,-111.05396882124018
85016,35167,33.515833,-112.048349
85335,35004,33.54719805,-112.30907811667986
85020,34782,40.82814980695939,15.692383909305244
85023,34488,40.85873341676001,15.855690312113193
85635,33767,48.021407350000004,11.731406627406916
85212,33724,33.302219949999994,-111.68281735
85712,33612,32.24663152455063,-110.89086420908532
86442,33551,35.10691329625735,-114.58689860709707
85340,33531,46.5488396,-1.7865993078696323
85303,33380,33.53760715,-112.21995245
85257,33369,33.4734998,-111.947757
85248,33302,33.2300513,-111.85759315
85297,33029,33.27915495,-111.77488237525232
85031,32737,33.4797732,-112.18266392252829
85704,32351,32.314832838743364,-110.98957985208274
85120,31795,46.59157998208046,-0.7425805169694667
85298,30987,48.5112716,11.407805750000001
85349,30795,32.5006342,-114.76329828290233
85050,30647,33.6541894,-112.151263
85716,30313,32.250063600000004,-110.92807175
85743,30217,32.34810350205739,-111.12627214437366
85053,29976,48.74608786275544,11.451327661908895
85331,29905,33.796669249999994,-111.96225319599726
85395,29710,48.5030304,11.762514153034601
85388,29408,33.6373504,-112.42529705105443
